ID,AB1_Actual
350,10/01/2011
351,10/01/2011
352,10/01/2011
353,10/01/2011
354,10/01/2011
355,01/03/2011
356,01/03/2011
357,01/03/2011
358,01/03/2011
359,01/03/2011
360,01/03/2011
361,01/03/2011
362,01/03/2011
363,01/03/2011
364,01/03/2011
365,01/03/2011
366,01/03/2011
367,01/03/2011
368,01/03/2011
369,01/03/2011
370,24/01/2011
371,24/01/2011
372,24/01/2011
373,24/01/2011
374,24/01/2011
379,24/01/2011
380,24/01/2011
381,24/01/2011
382,24/01/2011
383,24/01/2011
384,24/01/2011
385,24/01/2011
386,24/01/2011
387,24/01/2011
388,24/01/2011
389,24/01/2011
390,24/01/2011
391,24/01/2011
392,24/01/2011
393,24/01/2011
394,24/01/2011
395,24/01/2011
396,24/01/2011
397,24/01/2011
398,24/01/2011
399,24/01/2011
400,24/01/2011
401,24/01/2011
402,24/01/2011
403,24/01/2011
404,24/01/2011
405,24/01/2011
406,24/01/2011
407,24/01/2011
408,24/01/2011
409,24/01/2011
410,24/01/2011
411,24/01/2011
412,24/01/2011
413,24/01/2011
414,24/01/2011
415,24/01/2011
416,24/01/2011
417,24/01/2011
418,24/01/2011
419,24/01/2011
