ID,AB1
340,24/01/2011
341,24/01/2011
342,24/01/2011
343,24/01/2011
344,24/01/2011
345,24/01/2011
346,24/01/2011
347,24/01/2011
348,24/01/2011
349,24/01/2011
350,24/01/2011
351,24/01/2011
352,24/01/2011
353,24/01/2011
354,24/01/2011
530,09/03/2011
531,09/03/2011
532,09/03/2011
533,09/03/2011
534,09/03/2011
535,09/03/2011
536,09/03/2011
537,09/03/2011
538,09/03/2011
539,09/03/2011
540,09/03/2011
541,09/03/2011
542,09/03/2011
543,09/03/2011
544,09/03/2011
545,09/03/2011
546,09/03/2011
547,09/03/2011
548,09/03/2011
549,09/03/2011
550,09/03/2011
551,09/03/2011
552,09/03/2011
553,09/03/2011
554,09/03/2011
555,09/03/2011
556,09/03/2011
557,09/03/2011
558,09/03/2011
559,09/03/2011
560,09/03/2011
561,09/03/2011
562,09/03/2011
563,09/03/2011
718,22/12/2011
719,22/12/2011
720,22/12/2011
721,22/12/2011
722,22/12/2011
723,22/12/2011
724,22/12/2011
725,22/12/2011
726,22/12/2011
727,22/12/2011
731,22/12/2011
732,22/12/2011
817,29/06/2011
818,29/06/2011
819,29/06/2011
820,29/06/2011
821,29/06/2011
822,29/06/2011
823,29/06/2011
824,29/06/2011
825,29/06/2011
826,29/06/2011
827,29/06/2011
828,29/06/2011
829,29/06/2011
830,29/06/2011
831,29/06/2011
832,29/06/2011
833,29/06/2011
834,29/06/2011
835,29/06/2011
836,29/06/2011
837,29/06/2011
838,29/06/2011
839,29/06/2011
840,29/06/2011
841,29/06/2011
842,29/06/2011
843,29/06/2011
844,29/06/2011
845,29/06/2011
846,29/06/2011
847,29/06/2011
848,29/06/2011
849,29/06/2011
850,29/06/2011
851,29/06/2011
852,29/06/2011
853,29/06/2011
854,29/06/2011
855,29/06/2011
856,29/06/2011
857,29/06/2011
858,29/06/2011
859,29/06/2011
860,29/06/2011
861,29/06/2011
862,29/06/2011
863,29/06/2011
864,29/06/2011
865,29/06/2011
866,29/06/2011
867,29/06/2011
868,29/06/2011
869,29/06/2011
870,29/06/2011
871,29/06/2011
872,29/06/2011
873,29/06/2011
874,29/06/2011
875,29/06/2011
876,29/06/2011
877,29/06/2011
878,29/06/2011
879,29/06/2011
880,29/06/2011
881,29/06/2011
882,29/06/2011
883,29/06/2011
884,29/06/2011
885,29/06/2011
886,29/06/2011
887,29/06/2011
888,29/06/2011
889,29/06/2011
890,29/06/2011
891,29/06/2011
892,29/06/2011
893,29/06/2011
894,29/06/2011
907,07/07/2011
930,09/05/2011
942,29/03/2012
943,29/03/2012
944,29/03/2012
945,29/03/2012
946,29/03/2012
947,29/03/2012
948,29/03/2012
949,29/03/2012
950,29/03/2012
951,29/03/2012
952,29/03/2012
953,29/03/2012
954,29/03/2012
955,29/03/2012
956,29/03/2012
957,29/03/2012
958,29/03/2012
959,29/03/2012
960,29/03/2012
961,29/03/2012
962,29/03/2012
963,29/03/2012
964,29/03/2012
965,29/03/2012
966,29/03/2012
967,29/03/2012
968,29/03/2012
969,29/03/2012
970,29/03/2012
971,29/03/2012
972,29/03/2012
973,29/03/2012
974,29/03/2012
975,29/03/2012
976,29/03/2012
977,29/03/2012
978,29/03/2012
979,29/03/2012
980,29/03/2012
981,29/03/2012
982,29/03/2012
983,29/03/2012
1002,23/02/2012
1003,23/02/2012
1004,23/02/2012
1005,23/02/2012
1006,23/02/2012
1007,23/02/2012
1008,23/02/2012
1009,23/02/2012
1010,23/02/2012
1011,23/02/2012
1012,23/02/2012
1013,23/02/2012
1014,23/02/2012
1015,27/02/2012
1016,27/02/2012
1017,27/02/2012
1018,27/02/2012
1019,27/02/2012
1020,27/02/2012
1021,27/02/2012
1022,27/02/2012
1023,27/02/2012
1024,27/02/2012
1025,27/02/2012
1026,27/02/2012
1027,27/02/2012
1028,27/02/2012
1029,27/02/2012
1030,27/02/2012
1031,27/02/2012
1032,27/02/2012
1033,27/02/2012
1034,27/02/2012
1035,27/02/2012
1036,27/02/2012
1037,27/02/2012
1038,27/02/2012
1039,27/02/2012
1040,27/02/2012
1041,27/02/2012
1042,27/02/2012
1043,27/02/2012
1044,27/02/2012
1045,27/02/2012
1046,27/02/2012
1047,02/03/2012
1048,05/06/2012
1049,05/06/2012
1050,05/06/2012
1051,05/06/2012
1052,05/06/2012
1053,05/06/2012
1054,05/06/2012
1055,05/06/2012
1056,05/06/2012
1057,05/06/2012
1058,05/06/2012
1059,05/06/2012
1060,05/06/2012
1061,05/06/2012
1062,05/06/2012
1063,05/06/2012
1064,05/06/2012
1065,05/06/2012
1066,05/06/2012
1067,05/06/2012
1068,05/06/2012
1069,05/06/2012
1070,05/06/2012
1071,05/06/2012
1072,05/06/2012
1073,05/06/2012
1074,05/06/2012
1075,05/06/2012
1076,05/06/2012
1077,05/06/2012
1078,05/06/2012
1079,05/06/2012
1080,05/06/2012
1081,05/06/2012
1082,05/06/2012
1083,05/06/2012
1084,05/06/2012
1085,05/06/2012
1086,05/06/2012
1087,05/06/2012
1088,05/06/2012
1089,05/06/2012
1090,05/06/2012
1091,05/06/2012
1092,05/06/2012
1093,05/06/2012
1094,12/03/2012
1095,13/06/2012
1096,13/06/2012
1097,13/06/2012
1098,13/06/2012
1099,13/06/2012
1100,13/06/2012
1101,13/06/2012
1102,13/06/2012
1103,13/06/2012
1104,13/06/2012
1105,13/06/2012
1106,13/06/2012
1107,13/06/2012
1108,13/06/2012
1109,13/06/2012
1110,13/06/2012
1111,13/06/2012
1112,13/06/2012
1113,13/06/2012
1114,13/06/2012
1115,13/06/2012
1116,13/06/2012
1117,13/06/2012
1118,13/06/2012
1119,13/06/2012
1120,13/06/2012
1121,13/06/2012
1122,13/06/2012
1123,13/06/2012
1124,13/06/2012
1125,13/06/2012
1126,13/06/2012
1127,13/06/2012
1128,29/03/2012
1129,29/03/2012
1130,29/03/2012
1131,29/03/2012
1132,29/03/2012
1133,29/03/2012
1134,29/03/2012
1135,29/03/2012
1136,29/03/2012
1137,29/03/2012
1138,29/03/2012
1139,29/03/2012
1140,29/03/2012
1141,29/03/2012
1142,29/03/2012
1143,29/03/2012
1144,29/03/2012
1145,29/03/2012
1146,29/03/2012
1147,29/03/2012
1148,29/03/2012
1149,29/03/2012
1150,29/03/2012
1151,29/03/2012
1152,29/03/2012
1153,29/03/2012
1154,29/03/2012
1155,29/03/2012
1156,29/03/2012
1157,29/03/2012
1158,29/03/2012
1159,29/03/2012
1160,29/03/2012
1161,29/03/2012
1162,29/03/2012
1163,29/03/2012
1164,29/03/2012
1165,29/03/2012
1166,29/03/2012
1167,29/03/2012
1168,29/03/2012
1169,29/03/2012
1170,29/03/2012
1171,29/03/2012
1172,29/03/2012
1173,29/03/2012
1174,29/03/2012
1175,29/03/2012
1443,24/01/2011
1444,24/01/2011
1445,24/01/2011
1446,24/01/2011
1447,24/01/2011
1448,24/01/2011
1449,24/01/2011
1450,24/01/2011
1451,24/01/2011
1452,24/01/2011
1453,24/01/2011
1454,24/01/2011
1455,24/01/2011
1456,24/01/2011
