number,title,tag1,tag2,tag3,tag4
PD0285/DR/500/072,Detailed Design Pre Earthworks Drains Sheet 72 Ch 22120 - 22420,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/073,Detailed Design Pre Earthworks Drains Sheet 73 Ch 22420 - 22720,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/074,Detailed Design Pre Earthworks Drains Sheet 74 Ch 22720 - 23020,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/075,Detailed Design Pre Earthworks Drains Sheet 75 Ch 23020 - 23320,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/076,Detailed Design Pre Earthworks Drains Sheet 76 Ch 23320 - 23620,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/077,Detailed Design Pre Earthworks Drains Sheet 77 Ch 23620 - 23920,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/078,Detailed Design Pre Earthworks Drains Sheet 78 Ch 23920 - 24220,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/079,Detailed Design Pre Earthworks Drains Sheet 79 Ch 24220 - 24520,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/080,Detailed Design Pre Earthworks Drains Sheet 80 Ch 24520 - 24820,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/081,Detailed Design Pre Earthworks Drains Sheet 81 Ch 24820 - 25120,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/082,Detailed Design Pre Earthworks Drains Sheet 82 Ch 25120 - 25420,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/083,Detailed Design Pre Earthworks Drains Sheet 83 Ch 25420 - 25720,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/084,Detailed Design Pre Earthworks Drains Sheet 84 Ch 25720 - 26020,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/085,Detailed Design Pre Earthworks Drains Sheet 85 Ch 26020 - 26320,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/086,Detailed Design Pre Earthworks Drains Sheet 86 Ch 26320 - 26620,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/087,Detailed Design Pre Earthworks Drains Sheet 87 Ch 26620 - 26920,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/088,Detailed Design Pre Earthworks Drains Sheet 88 Ch 26920 - 27220,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/089,Detailed Design Pre Earthworks Drains Sheet 89 Ch 27220 - 27520,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/090,Detailed Design Pre Earthworks Drains Sheet 90 Ch 27520 - 27820,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/091,Detailed Design Pre Earthworks Drains Sheet 91 Ch 27820 - 28120,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/092,Detailed Design Pre Earthworks Drains Sheet 92 Ch 28120 - END,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/133,Detailed Design Pre Earthworks Drains Sheet 133 Syerston Overbridge,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/134,Detailed Design Pre Earthworks Drains Sheet 134 Lodge Lane Junction,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/135,Detailed Design Pre Earthworks Drains Sheet 135 Lodge Lane Junction,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/136,Detailed Design Pre Earthworks Drains Sheet 136 Lodge Lane Junction,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/137,Detailed Design Pre Earthworks Drains Sheet 137 Elston Lane,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/138,Detailed Design Pre Earthworks Drains Sheet 138 Moor Lane Overbridge,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/139,Detailed Design Pre Earthworks Drains Sheet 139 Moor Lane Overbridge,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/140,Detailed Design Pre Earthworks Drains Sheet 140 Hawton Lane Overbridge,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/141,Detailed Design Pre Earthworks Drains Sheet 141 Hawton Lane Overbridge,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/142,Detailed Design Pre Earthworks Drains Sheet 142 Hawton Lane Overbridge,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/143,Detailed Design Pre Earthworks Drains Sheet 143 Farndon Roundabout,DR,Drawing,Pre Earthworks Drains,Section 3
PD0285/DR/500/199,Detailed Design Carrier & Filter Drains General Notes and Key,DR,Drawing,,Carrier & Filter Drains
PD0285/DR/500/200,Detailed Design Carrier & Filter Drains Key Sheet,DR,Drawing,,Carrier & Filter Drains
PD0285/DR/500/201,Detailed Design Carrier & Filter Drains Sheet 1 Ch 400 - 700,DR,Drawing,Carrier & Filter Drains,Section 1A
PD0285/DR/500/202,Detailed Design Carrier & Filter Drains Sheet 2 Ch  700 - 1000,DR,Drawing,Carrier & Filter Drains,Section 1A
PD0285/DR/500/203,Detailed Design Carrier & Filter Drains Sheet 3 Ch 1000 - 1300,DR,Drawing,Carrier & Filter Drains,Section 1A
PD0285/DR/500/204,Detailed Design Carrier & Filter Drains Sheet 4 Ch 1300 - 1600,DR,Drawing,Carrier & Filter Drains,Section 1A
PD0285/DR/500/205,Detailed Design Carrier & Filter Drains Sheet 5 Ch 1600 - 1900,DR,Drawing,Carrier & Filter Drains,Section 1A
PD0285/DR/500/206,Detailed Design Carrier & Filter Drains Sheet 6 Ch 1900 - 2200,DR,Drawing,Carrier & Filter Drains,Section 1A
PD0285/DR/500/207,Detailed Design Carrier & Filter Drains Sheet 7 Ch 2200 - 2500,DR,Drawing,Carrier & Filter Drains,Section 1A
PD0285/DR/500/208,Detailed Design Carrier & Filter Drains Sheet 8 Ch 2500 - 2800,DR,Drawing,Carrier & Filter Drains,Section 1A
PD0285/DR/500/209,Detailed Design Carrier & Filter Drains Sheet 9 Ch 2800 - 3100,DR,Drawing,Carrier & Filter Drains,Section 1A
PD0285/DR/500/210,Detailed Design Carrier & Filter Drains Sheet 10 Ch 3100 - 3400,DR,Drawing,Carrier & Filter Drains,Section 1A
PD0285/DR/500/211,Detailed Design Carrier & Filter Drains Sheet 11 Ch 3400 - 3700,DR,Drawing,Carrier & Filter Drains,Section 1A
PD0285/DR/500/212,Detailed Design Carrier & Filter Drains Sheet 12 Ch 3700 - 4000,DR,Drawing,Carrier & Filter Drains,Section 1A
PD0285/DR/500/213,Detailed Design Carrier & Filter Drains Sheet 13 Ch 4000 - 4300,DR,Drawing,Carrier & Filter Drains,Section 1A
PD0285/DR/500/214,Detailed Design Carrier & Filter Drains Sheet 14 Ch 4300 - 4600,DR,Drawing,Carrier & Filter Drains,Section 1A
PD0285/DR/500/215,Detailed Design Carrier & Filter Drains Sheet 15 Ch 4600 - 4900,DR,Drawing,Carrier & Filter Drains,Section 1A
PD0285/DR/500/216,Detailed Design Carrier & Filter Drains Sheet 16 Ch 4900 - 5200,DR,Drawing,Carrier & Filter Drains,Section 1A
PD0285/DR/500/217,Detailed Design Carrier & Filter Drains Sheet 17 Ch 5200 - 5500,DR,Drawing,Carrier & Filter Drains,Section 1A
PD0285/DR/500/218,Detailed Design Carrier & Filter Drains Sheet 18 Ch 5500 - 5800,DR,Drawing,Carrier & Filter Drains,Section 1B
PD0285/DR/500/219,Detailed Design Carrier & Filter Drains Sheet 19 Ch 5800 - 6100,DR,Drawing,Carrier & Filter Drains,Section 1B
PD0285/DR/500/220,Detailed Design Carrier & Filter Drains Sheet 20 Ch 6100 - 6400,DR,Drawing,Carrier & Filter Drains,Section 1B
PD0285/DR/500/221,Detailed Design Carrier & Filter Drains Sheet 21 Ch 6400 - 6740,DR,Drawing,Carrier & Filter Drains,Section 1B
PD0285/DR/500/222,Detailed Design Carrier & Filter Drains Sheet 22 Ch 6740 - 7060,DR,Drawing,Carrier & Filter Drains,Section 1B
PD0285/DR/500/223,Detailed Design Carrier & Filter Drains Sheet 23 Ch 7060 - 7380,DR,Drawing,Carrier & Filter Drains,Section 1B
PD0285/DR/500/293,Detailed Design Carrier & Filter Drains Sheet 93 Owthorpe Junction,DR,Drawing,Carrier & Filter Drains,Section 1B
PD0285/DR/500/294,Detailed Design Carrier & Filter Drains Sheet 94 Owthorpe Junction,DR,Drawing,Carrier & Filter Drains,Section 1B
PD0285/DR/500/295,Detailed Design Carrier & Filter Drains Sheet 95 Owthorpe Junction,DR,Drawing,Carrier & Filter Drains,Section 1B
PD0285/DR/500/296,Detailed Design Carrier & Filter Drains Sheet 96 Herrywell Lane,DR,Drawing,Carrier & Filter Drains,Section 1B
PD0285/DR/500/297,Detailed Design Carrier & Filter Drains Sheet 97 Cotgrave Overbridge,DR,Drawing,Carrier & Filter Drains,Section 1B
