number,title,tag1,tag2,tag3,tag4
PD0285/BD/08/08,South West Wingwall Reinforcement,STR,Drawing,Grantham Canal Underbridge,
PD0285/BD/08/09,South East Wingwall Reinforcement,STR,Drawing,Grantham Canal Underbridge,
PD0285/BD/08/10,North West Wingwall Reinforcement,STR,Drawing,Grantham Canal Underbridge,
PD0285/BD/08/11,Deck Reinforcement,STR,Drawing,Grantham Canal Underbridge,
PD0285/BD/08/12,Deck Reinforcement,STR,Drawing,Grantham Canal Underbridge,
PD0285/BD/08/13,Precast Beams Details,STR,Drawing,Grantham Canal Underbridge,
PD0285/BD/08/14,Misc Details,STR,Drawing,Grantham Canal Underbridge,
PD0285/BD/08/15,North Abutment  Reinforcement,STR,Drawing,Grantham Canal Underbridge,
PD0285/BD/08/16,South Abutment Reinforcement,STR,Drawing,Grantham Canal Underbridge,
PD0285/BD/08/17,Sheet Pile Retaining Walls - Sheet 1,STR,Drawing,Grantham Canal Underbridge,
PD0285/BD/08/18,Sheet Pile Retaining Walls - Sheet 2,STR,Drawing,Grantham Canal Underbridge,
PD0285/BD/09/01,General Arrangement,STR,Drawing,Cropwell Butler Underbridge,
PD0285/BD/09/02,Setting Out,STR,Drawing,Cropwell Butler Underbridge,
PD0285/BD/09/03,Piling Details & Reinforcement,STR,Drawing,Cropwell Butler Underbridge,
PD0285/BD/09/04,Abutment Dimensions,STR,Drawing,Cropwell Butler Underbridge,
PD0285/BD/09/05,Wingwall Dimensions,STR,Drawing,Cropwell Butler Underbridge,
PD0285/BD/09/06,Abutment Reinforcement,STR,Drawing,Cropwell Butler Underbridge,
PD0285/BD/09/07,Wingwall Reinforcement Sheet 1,STR,Drawing,Cropwell Butler Underbridge,
PD0285/BD/09/08,Wingwall Reinforcement Sheet 2,STR,Drawing,Cropwell Butler Underbridge,
PD0285/BD/09/09,PC Panel Details & Reinforcement,STR,Drawing,Cropwell Butler Underbridge,
PD0285/BD/09/10,Deck Dimensions,STR,Drawing,Cropwell Butler Underbridge,
PD0285/BD/09/11,Deck Reinforcement Sheet 1,STR,Drawing,Cropwell Butler Underbridge,
PD0285/BD/09/12,Deck Reinforcement Sheet 2,STR,Drawing,Cropwell Butler Underbridge,
PD0285/BD/09/13,Misc. Details,STR,Drawing,Cropwell Butler Underbridge,
PD0285/BD/10/01,General Arrangement,STR,Drawing,Henson Lane Overbridge,
PD0285/BD/10/02,Setting Out,STR,Drawing,Henson Lane Overbridge,
PD0285/BD/10/03,Abutment & Wingwall Dimensions,STR,Drawing,Henson Lane Overbridge,
PD0285/BD/10/04,Abutment Reinforcement Sheet 1,STR,Drawing,Henson Lane Overbridge,
PD0285/BD/10/05,Abutment Reinforcement Sheet 2,STR,Drawing,Henson Lane Overbridge,
PD0285/BD/10/06,Pier Dimensions & Reinforcement,STR,Drawing,Henson Lane Overbridge,
PD0285/BD/10/07,Deck Dimensions,STR,Drawing,Henson Lane Overbridge,
PD0285/BD/10/08,Deck Reinforcement Sheet 1,STR,Drawing,Henson Lane Overbridge,
PD0285/BD/10/09,Deck Reinforcement Sheet 2,STR,Drawing,Henson Lane Overbridge,
PD0285/BD/10/10,Steelwork Sheet 1,STR,Drawing,Henson Lane Overbridge,
PD0285/BD/10/11,Steelwork Sheet 2,STR,Drawing,Henson Lane Overbridge,
PD0285/BD/10/12,Steelwork Sheet 3,STR,Drawing,Henson Lane Overbridge,
PD0285/BD/10/14,Misc Details,STR,Drawing,Henson Lane Overbridge,
PD0285/BD/10/15,Bearing Schedule,STR,Drawing,Henson Lane Overbridge,
PD0285/BD/11/01,General Arrangement,STR,Drawing,Saxondale Junction South Underbridge,
PD0285/BD/11/02,Setting Out,STR,Drawing,Saxondale Junction South Underbridge,
PD0285/BD/11/03,Abutment Dimensions,STR,Drawing,Saxondale Junction South Underbridge,
PD0285/BD/11/04,Wingwall Dimensions,STR,Drawing,Saxondale Junction South Underbridge,
PD0285/BD/11/05,Abutment Reinforcement Sheet 1,STR,Drawing,Saxondale Junction South Underbridge,
PD0285/BD/11/06,Abutment Reinforcement Sheet 2,STR,Drawing,Saxondale Junction South Underbridge,
PD0285/BD/11/07,Wingwall Reinforcement Sheet 1,STR,Drawing,Saxondale Junction South Underbridge,
PD0285/BD/11/08,Wingwall Reinforcement Sheet 2,STR,Drawing,Saxondale Junction South Underbridge,
PD0285/BD/11/09,Wingwall Reinforcement Sheet 3,STR,Drawing,Saxondale Junction South Underbridge,
PD0285/BD/11/10,Wingwall Reinforcement Sheet 4,STR,Drawing,Saxondale Junction South Underbridge,
PD0285/BD/11/11,Deck Dimensions,STR,Drawing,Saxondale Junction South Underbridge,
PD0285/BD/11/12,Deck Reinforcement,STR,Drawing,Saxondale Junction South Underbridge,
PD0285/BD/11/13,Precast Beams Details,STR,Drawing,Saxondale Junction South Underbridge,
PD0285/BD/11/14,Bearing Schedule & Misc. Details,STR,Drawing,Saxondale Junction South Underbridge,
PD0285/BD/11/15,Precast Beams Details External Beams,STR,Drawing,Saxondale Junction South Underbridge,
PD0285/BD/12/01,General Arrangement,STR,Drawing,Saxondale Junction North Underbridge,
PD0285/BD/12/02,Setting Out,STR,Drawing,Saxondale Junction North Underbridge,
PD0285/BD/12/03,Abutment Dimensions,STR,Drawing,Saxondale Junction North Underbridge,
PD0285/BD/12/04,Wingwall Dimensions,STR,Drawing,Saxondale Junction North Underbridge,
PD0285/BD/12/05,Abutment Reinforcement Sheet 1,STR,Drawing,Saxondale Junction North Underbridge,
PD0285/BD/12/06,Abutment Reinforcement Sheet 2,STR,Drawing,Saxondale Junction North Underbridge,
PD0285/BD/12/07,Wingwall Reinforcement Sheet 1,STR,Drawing,Saxondale Junction North Underbridge,
PD0285/BD/12/08,Wingwall Reinforcement Sheet 2,STR,Drawing,Saxondale Junction North Underbridge,
PD0285/BD/12/09,Wingwall Reinforcement Sheet 3,STR,Drawing,Saxondale Junction North Underbridge,
PD0285/BD/12/10,Wingwall Reinforcement Sheet 4,STR,Drawing,Saxondale Junction North Underbridge,
PD0285/BD/12/11,Deck Dimensions,STR,Drawing,Saxondale Junction North Underbridge,
PD0285/BD/12/12,Deck Reinforcement,STR,Drawing,Saxondale Junction North Underbridge,
PD0285/BD/12/13,Precast Beams Details,STR,Drawing,Saxondale Junction North Underbridge,
