number,title,tag1,tag2,tag3,tag4
PD0285/DR/500/244,Detailed Design Carrier & Filter Drains Sheet 44 Ch 13500 - 13800,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/245,Detailed Design Carrier & Filter Drains Sheet 45 Ch 13800 - 14120,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/246,Detailed Design Carrier & Filter Drains Sheet 46 Ch 14120 - 14440,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/247,Detailed Design Carrier & Filter Drains Sheet 47 Ch 14440 - 14740,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/248,Detailed Design Carrier & Filter Drains Sheet 48 Ch 14740 - 15060,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/249,Detailed Design Carrier & Filter Drains Sheet 49 Ch 15060- 15380,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/250,Detailed Design Carrier & Filter Drains Sheet 50 Ch  15380 - 15700,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/251,Detailed Design Carrier & Filter Drains Sheet 51 Ch 15700 - 16000,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/252,Detailed Design Carrier & Filter Drains Sheet 52 Ch 16000 - 16300,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/253,Detailed Design Carrier & Filter Drains Sheet 53 Ch 16300 - 16600,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/254,Detailed Design Carrier & Filter Drains Sheet 54 Ch 16600 - 16920,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/255,Detailed Design Carrier & Filter Drains Sheet 55 Ch 16920 - 17240,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/256,Detailed Design Carrier & Filter Drains Sheet 56 Ch 17240 - 17560,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/257,Detailed Design Carrier & Filter Drains Sheet 57 Ch 17560 - 17880,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/258,Detailed Design Carrier & Filter Drains Sheet 58 Ch 17880 - 18200,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/259,Detailed Design Carrier & Filter Drains Sheet 59 Ch 18200 - 18520,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/260,Detailed Design Carrier & Filter Drains Sheet 60 ch 18520 - 18840,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/261,Detailed Design Carrier & Filter Drains Sheet 61 ch 18840 - 19120,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/262,Detailed Design Carrier & Filter Drains Sheet 62 ch 19120 - 19400,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/263,Detailed Design Carrier & Filter Drains Sheet 63 Ch 19400 - 19700,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/264,Detailed Design Carrier & Filter Drains Sheet 64 Ch 19700 - 20000,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/265,Detailed Design Carrier & Filter Drains Sheet 65 Ch 20000 - 20300,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/266,Detailed Design Carrier & Filter Drains Sheet 66 Ch 20300 - 20600,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/267,Detailed Design Carrier & Filter Drains Sheet 67 Ch 20600 - 20920,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/268,Detailed Design Carrier & Filter Drains Sheet 68 Ch 20920 - 21220,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/269,Detailed Design Carrier & Filter Drains Sheet 69 Ch 21220 - 21520,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/314,Detailed Design Carrier & Filter Drains Sheet 114 Drainage Easement Ch 13500,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/315,Detailed Design Carrier & Filter Drains Sheet 115  Balancing Pond Ch 13500,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/316,Detailed Design Carrier & Filter Drains Sheet 116  Drainage Easement Ch 13500,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/317,Detailed Design Carrier & Filter Drains Sheet 117 Margidunum SBM Slip Road,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/318,Detailed Design Carrier & Filter Drains Sheet 118 Margidunum Junction,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/319,Detailed Design Carrier & Filter Drains Sheet 119 Margidunum Junction,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/320,Detailed Design Carrier & Filter Drains Sheet 120 Margidunum Junction,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/321,Detailed Design Carrier & Filter Drains Sheet 121 Margidunum Junction,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/322,Detailed Design Carrier & Filter Drains Sheet 122 Springdale Lane,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/323,Detailed Design Carrier & Filter Drains Sheet 123 Butt Lane,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/324,Detailed Design Carrier & Filter Drains Sheet 124 Butt Lane,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/325,Detailed Design Carrier & Filter Drains Sheet 125 Tenman Lane,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/326,Detailed Design Carrier & Filter Drains Sheet 126 Car Colston,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/327,Detailed Design Carrier & Filter Drains Sheet 127 Red Lodge Lane,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/328,Detailed Design Carrier & Filter Drains Sheet 128 Coney Grey Spinney,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/329,Detailed Design Carrier & Filter Drains Sheet 129 Flintham Junction,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/330,Detailed Design Carrier & Filter Drains Sheet 130 Flintham Junction,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/331,Detailed Design Carrier & Filter Drains Sheet 131 Flintham Junction,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/332,Detailed Design Carrier & Filter Drains Sheet 132 Flintham Junction,DR,Drawing,Carrier & Filter Drains,Section 2
PD0285/DR/500/270,Detailed Design Carrier & Filter Drains Sheet 70 Ch 21520 - 21820,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/271,Detailed Design Carrier & Filter Drains Sheet 71 Ch 21820 - 22120,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/272,Detailed Design Carrier & Filter Drains Sheet 72 Ch 22120 - 22420,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/273,Detailed Design Carrier & Filter Drains Sheet 73 Ch 22420 - 22720,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/274,Detailed Design Carrier & Filter Drains Sheet 74 Ch 22720 - 23020,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/275,Detailed Design Carrier & Filter Drains Sheet 75 Ch 23020 - 23320,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/276,Detailed Design Carrier & Filter Drains Sheet 76 Ch 23320 - 23620,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/277,Detailed Design Carrier & Filter Drains Sheet 77 Ch 23620 - 23920,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/278,Detailed Design Carrier & Filter Drains Sheet 78 Ch 23920 - 24220,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/279,Detailed Design Carrier & Filter Drains Sheet 79 Ch 24220 - 24520,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/280,Detailed Design Carrier & Filter Drains Sheet 80 Ch 24520 - 24820,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/281,Detailed Design Carrier & Filter Drains Sheet 81 Ch 24820 - 25120,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/282,Detailed Design Carrier & Filter Drains Sheet 82 Ch 25120 - 25420,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/283,Detailed Design Carrier & Filter Drains Sheet 83 Ch 25420 - 25720,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/284,Detailed Design Carrier & Filter Drains Sheet 84 Ch 25720 - 26020,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/285,Detailed Design Carrier & Filter Drains Sheet 85 Ch 26020 - 26320,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/286,Detailed Design Carrier & Filter Drains Sheet 86 Ch 26320 - 26620,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/287,Detailed Design Carrier & Filter Drains Sheet 87 Ch 26620 - 26920,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/288,Detailed Design Carrier & Filter Drains Sheet 88 Ch 26920 - 27220,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/289,Detailed Design Carrier & Filter Drains Sheet 89 Ch 27220 - 27520,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/290,Detailed Design Carrier & Filter Drains Sheet 90 Ch 27520 - 27820,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/291,Detailed Design Carrier & Filter Drains Sheet 91 Ch 27820 - 28120,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/292,Detailed Design Carrier & Filter Drains Sheet 92 Ch 28120 - END,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/333,Detailed Design Carrier & Filter Drains Sheet 133 Syerston Overbridge,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/334,Detailed Design Carrier & Filter Drains Sheet 134 Lodge Lane Junction,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/335,Detailed Design Carrier & Filter Drains Sheet 135 Lodge Lane Junction,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/336,Detailed Design Carrier & Filter Drains Sheet 136 Lodge Lane Junction,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/337,Detailed Design Carrier & Filter Drains Sheet 137 Elston Lane,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/338,Detailed Design Carrier & Filter Drains Sheet 138 Moor Lane Overbridge,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/339,Detailed Design Carrier & Filter Drains Sheet 139 Moor Lane Overbridge,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/340,Detailed Design Carrier & Filter Drains Sheet 140 Hawton Lane Overbridge,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/341,Detailed Design Carrier & Filter Drains Sheet 141 Hawton Lane Overbridge,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/342,Detailed Design Carrier & Filter Drains Sheet 142 Hawton Lane Overbridge,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/343,Detailed Design Carrier & Filter Drains Sheet 143 Farndon Roundabout,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/344,Detailed Design Carrier & Filter Drains Sheet 144 Cropwell Road,DR,Drawing,Carrier & Filter Drains,Section 3
PD0285/DR/500/501,Detailed Design Culvert 1 & 1A,DR,Drawing,Culverts,
PD0285/DR/500/502,Detailed Design Culvert 2,DR,Drawing,Culverts,
PD0285/DR/500/503,Detailed Design Culvert 3 Sheet 1,DR,Drawing,Culverts,
PD0285/DR/500/504,"Detailed Design Culvert 4, 4A & 4B",DR,Drawing,Culverts,
PD0285/DR/500/505,Detailed Design Culvert 5,DR,Drawing,Culverts,
PD0285/DR/500/506,Detailed Design Culvert 6,DR,Drawing,Culverts,
PD0285/DR/500/507,Detailed Design Culvert 7,DR,Drawing,Culverts,
PD0285/DR/500/508,Detailed Design Culvert 8,DR,Drawing,Culverts,
PD0285/DR/500/509,Detailed Design Culvert 9,DR,Drawing,Culverts,
PD0285/DR/500/510,Detailed Design Culvert 10,DR,Drawing,Culverts,
PD0285/DR/500/511,Detailed Design Culvert 11,DR,Drawing,Culverts,
PD0285/DR/500/512,Detailed Design Culvert 12 & 12A,DR,Drawing,Culverts,
PD0285/DR/500/513,Detailed Design Culvert 13 & 13A,DR,Drawing,Culverts,
PD0285/DR/500/514,Detailed Design Culvert 14 & 14A,DR,Drawing,Culverts,
PD0285/DR/500/515,Detailed Design Culvert 15,DR,Drawing,Culverts,
PD0285/DR/500/516,Detailed Design Culvert 16,DR,Drawing,Culverts
PD0285/DR/500/517,Detailed Design Culvert 17,DR,Drawing,Culverts
PD0285/DR/500/518,Detailed Design Culvert 18 sheet 1 of 2,DR,Drawing,Culverts
